CRM系统,小程序
卓美亚喜玛拉雅酒店,上海卓美亚喜玛拉雅酒店
洲海花园酒店,上海洲海花园酒店
中兴和泰大酒店,
中星铂尔曼大酒店,上海中星铂尔曼大酒店
中国大酒店,
中庚聚龙酒店,上海中庚聚龙酒店
中福大酒店,上海中福大酒店
中大凯丰酒店,
证大美爵,上海证大美爵酒店
正佳万豪酒店,广州正佳万豪酒店
正佳广场万豪酒店,
长荣桂冠酒店,上海长荣桂冠酒店
粤大金融城国际酒店,
粤安大酒店,
远洋宾馆,上海远洋宾馆
裕景大饭店,上海裕景大饭店
邮电大厦婚宴会厅,
银星皇冠假日酒店,
扬子精品酒店,上海扬子精品酒店
宴荟（乐峰广场）婚宴会厅,
宴荟（凯德广场店）婚宴会厅,
延安饭店,
亚洲国际大酒店,
雅悦新天地,雅悦新天地婚宴展会中心
雅聚楼,
雅居乐万豪酒店,上海雅居乐万豪酒店
兴荣温德姆,上海兴荣温德姆至尊豪廷酒店
兴华宾馆,上海兴华宾馆
新锦江大酒店,上海新锦江酒店
香港茗星大酒店,
鲜墙房 永安大饭店,
喜来登由由大酒店,上海浦东由由喜来登大酒店
西郊庄园丽笙,上海虹桥西郊庄园丽笙
五角场凯悦酒店,
文华东方酒店,上海浦东文华东方酒店
万达瑞华酒店,上海万达瑞华
外滩浦华大酒店,上海外滩浦华大酒店
外滩茂悦大酒店,上海外滩茂悦大酒店
外滩华尔道夫酒店,
外商大酒店,
外高桥喜来登酒店,上海外高桥喜来登酒店
外高桥皇冠假日酒店,上海外高桥皇冠假日
通茂大酒店,
天禧嘉福璞缇客酒店,上海天禧嘉福璞缇酒店
索菲特海仑宾馆,上海索菲特海仑宾馆
世纪皇冠假日酒店,上海世茂皇家艾美酒店
世博洲际酒店,上海世博洲际酒店
十甫假日酒店,
圣诺亚皇冠假日酒店,上海圣诺亚皇冠酒店
圣拉维 杨浦店,
圣拉维 浦东旗舰店,圣拉维高端婚礼会馆（浦东旗舰店）
圣拉维 大宁店,
圣拉维 宾江店,圣拉维高端婚礼会馆（DreamHouse滨江店）
佘山索菲特,上海佘山索菲特大酒店
上海中油阳光大酒店,上海中油阳光大酒店
上海中心,上海中心
上海中谷小南国花园酒店,上海中谷小南国花园饭店
上海豫园万丽酒店,上海豫园万丽酒店
上海扬子江万丽大酒店,上海扬子江万丽大酒店
上海新天地朗廷酒店,上海新天地朗廷酒店
上海新天地安达仕酒店,上海新天地安达仕酒店
上海新发展亚太JW万豪酒店,上海新发展亚太JW万豪酒店
上海威斯汀大饭店,上海威斯汀大酒店
上海威斯汀大饭店,
上海外滩w酒店,上海外滩W酒店
上海素凯泰酒店,上海素凯泰酒店
上海四季酒店（浦西）,
上海斯格威铂尔曼大酒店,上海斯格威铂尔曼大酒店
上海世茂皇家艾美酒店,上海世茂皇家艾美酒店
上海佘山茂御臻品之选酒店,
上海日航饭店,上海日航大饭店
上海明天广场JW万豪酒店,上海明天广场JW万豪
上海美丽园大酒店,上海美丽园大酒店
上海鲁能JW万豪侯爵酒店,上海鲁能侯爵JW万豪
上海龙之梦万丽酒店,上海龙之梦万丽酒店
上海凯宾斯基大酒店,上海凯宾斯基大酒店
上海静安逸林希尔顿,上海静安希尔顿逸林酒店
上海静安香格里拉大酒店,上海静安香格里拉大酒店
上海静安瑞吉酒店,上海静安瑞吉酒店
上海静安昆仑大酒店,上海静安昆仑大酒店
上海锦江汤臣洲际大酒店,上海锦江汤臣洲际大酒店
上海虹桥绿地铂骊酒店,
上海虹桥康得思酒店,上海虹桥康得思酒店
上海宏安瑞士大酒店,上海宏安瑞士大酒店
上海国丰大酒店,上海国丰酒店
上海古象大酒店,上海古象大酒店
上海复旦皇冠假日酒店,上海复旦皇冠酒店
上海德尔塔酒店,上海宝山德尔塔酒店
上海大厦,
上海淳大万丽酒店,上海淳大万丽酒店
上海安曼纳卓悦酒店,安曼纳卓越
瑞金洲际酒店,上海瑞金洲际酒店
青松城大酒店,
千禧海鸥大酒店,上海千禧海鸥大酒店
齐鲁万怡大酒店,上海齐鲁万怡大酒店
浦西万怡酒店,上海浦西万怡酒店
浦江饭店,
浦东星河湾,上海浦东星河湾酒店
浦东香格里拉大酒店,上海浦东香格里拉大酒店
浦东四季酒店,上海浦东四季酒店
浦东丽思卡尔顿酒店,上海浦东丽思卡尔顿酒店
浦东假日酒店,上海浦东假日酒店
浦东嘉里大酒店,上海浦东嘉里大酒店
琶洲食府,
琶醍,
南村骏粤大酒店,
明悦大酒店,
闵行星河湾酒店,上海闵行星河湾酒店
美兰湖皇冠假日酒店,
美兰湖国际会议中心酒店,上海美兰湖国际会议中心
绿瘦酒店,上海绿瘦酒店
绿地万豪酒店,上海绿地万豪酒店
绿地假日酒店,上海浦东绿地假日酒店
绿地公馆会议中心,
绿地铂骊酒店,上海浦东绿地铂骊
绿岛西餐酒廊兰圃店（有户外）,
绿岛酒廊流花店（有户外）,
,龙之梦大酒店
丽柏国际酒店,
老丰阁古象店,老丰阁（古象店）
蓝天宾馆,上海蓝天宾馆
康桥万豪酒店,上海康桥万豪酒店
康乃馨,
卡丽皇家金煦酒店,
静安洲际酒店,上海静安洲际酒店
静安铂尔曼酒店,上海静安铂尔曼酒店
晶翠庭,新锦江晶翠庭
锦江饭店,锦江饭店
金茂君悦大酒店,上海金茂君悦大酒店
金茂君悦,上海金茂君悦大酒店
金古源豪生大酒店,上海虹桥金古源豪生大酒店
金地岚韵酒店,上海金地岚韵酒店
蛟龙凯莱大酒店,上海蛟龙凯莱酒店
江韵大酒店,
建国酒店,上海建国宾馆
建工皇冠假日酒店,上海建工浦江皇冠假日酒店
吉臣酒店,
皇廷花园酒店,上海皇廷花园酒店
华金盾大酒店,
花园酒店,
花园饭店,上海花园饭店
虹桥元一希尔顿酒店,
虹桥郁锦香宾馆,上海虹桥郁锦香宾馆
虹桥迎宾馆,上海虹桥迎宾馆
虹桥英迪格酒店,上海虹桥英迪格酒店
虹桥新华联索菲特大酒店,上海虹桥新华联索菲特大酒店
虹桥万豪大酒店,
虹桥美爵大酒店,上海虹桥美爵酒店
虹桥绿地铂瑞,上海虹桥绿地铂瑞酒店
虹桥锦江大酒店,虹桥锦江大酒店
